,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
841,0.475,246.0,1029.0,8.0,4.9,40.0,25.0,3.3,0.13,0.052
842,0.375,275.0,1151.0,10.9,6.0,39.1,17.3,4.6,0.6,0.24
843,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847,0.7875,292.0,1222.0,0.5,0.10000000149012,65.0,51.0,2.0,0.0,0.0
848,0.5875,245.0,1025.0,10.9,1.7,22.4,1.5,13.9,1.42,0.568
849,0.275,285.0,1192.0,13.2,7.3,26.0,7.3,15.1,1.28,0.512
850,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
852,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
853,0.9875,0.0,144.0,0.9,0.0,2.9,2.5,3.6,0.0,0.0
854,0.275,2.5641025641026,11.0,7.6923076923077,3.8461538461538,17.948717948718,10.25641025641,64.102564102564,0.8974358974359,0.35897435897436
855,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
857,0.375,234.0,979.0,12.0,2.8,18.0,0.6,13.0,1.4,0.56
858,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,0.275,60.0,251.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0
860,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,0.4,0.0,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863,0.7625,521.0,2180.0,27.0,9.5,60.7,47.1,7.2,0.559,0.2236
864,0.475,2.0,8.0,2.0,1.0,0.5,0.5,34.0,4.3,1.72
865,0.3875,828.0,3464.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0
866,0.3,425.0,1780.0,7.5,1.25,75.0,0.0,15.0,0.0,0.0
867,0.3,343.0,1430.0,0.0,0.0,62.9,2.86,25.7,0.0,0.0
868,0.275,526.0,2201.0,27.0,15.0,60.0,27.0,8.2,0.69,0.276
869,0.6875,545.0,2280.0,32.0,20.0,57.0,56.0,6.1,0.18,0.072
870,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,0.9875,0.0,320.0,3.5,0.0,7.5,0.0,3.6,0.0,0.0
873,0.275,470.0,1966.0,42.2,10.8,11.4,0.15,8.7,2.5,1.0
874,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875,0.575,260.0,1088.0,0.5,0.1,30.0,1.2,34.0,10.8,4.32
876,0.5875,102.0,427.0,0.1,0.1,23.2,22.8,1.2,1.8,0.72
877,0.8875,102.0,427.0,0.1,0.1,23.2,22.8,1.2,1.8,0.72
878,0.7875,0.0,177.0,0.0,0.0,10.4,10.4,0.0,0.1,0.04
879,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
